"support_biden","biden","syn_biden","sanders","syn_sanders","support_sanders","support_harris","harris","syn_harris","orourke","syn_orourke","support_orourke","booker","syn_booker","support_booker","klobuchar","syn_klobuchar","support_klobuchar","warren","syn_warren","support_warren","hickenlooper","syn_hickenlooper","support_hickenlooper","gillibrand","syn_gillibrand","support_gillibrand","delaney","syn_delaney","support_delaney","castro","syn_castro","support_castro","deblasio","syn_deblasio","support_deblasio","gabbard","syn_gabbard","support_gabbard","buttigieg","syn_buttigieg","support_buttigieg","inslee","syn_inslee","support_inslee","ryan","syn_ryan","support_ryan","moulton","syn_moulton","support_moulton","swalwell","syn_swalwell","support_swalwell","yang","syn_yang","support_yang","williamson","syn_williamson","support_williamson","gravel","syn_gravel","support_gravel","bullock","syn_bullock","support_bullock","bennet","syn_bennet","support_bennet","messam","syn_messam","support_messam","rowid"
21,21,17.5295992597763,22,16.790892311005,22,20,20,16.434202723206,3,16.6487601951197,3,12.5,16.5285073018497,17.0364045163924,24,11.0386242199133,24,23,18.1505958898934,23,12.5,12.6015411358388,9.10491854449477,12.5,15.1255743311387,12.3214786665575,12.5,15.0577733872097,15.5665027988269,1,11.682320913542,1,4,14.5224078250747,4,12.5,11.7009418271719,10.9032108382466,12.5,15.06134175011,15.7846614254189,5,12.2424034694334,5,12.5,12.3607651011512,10.2321616781884,12.5,13.3796407448458,14.5200732357378,12.5,13.1862435615436,14.034675316521,2,12.0672903652085,2,12.5,12.1463427522618,7.87533259932007,12.5,11.8148928556598,7.19620274956685,12.5,12.5886650505366,11.6367115301688,12.5,12.6291780450603,15.3232495332079,12.5,12.1341999808773,6.85796539683003,1
3.39645347232627,3,9.43167340546354,12.5,14.8005211855274,16.2367330954036,11.5336328073022,12.5,10.4640670438117,12.5,11.3360876487242,12.1529523010995,12.5,13.13924211844,13.7725312946098,12.5,12.2957482835204,10.176886413521,12.5,11.986723558452,12.416761202794,12.5,12.3478680860733,8.45521188921984,12.5,12.237971541749,7.7745638117858,12.5,11.8100545752724,9.99256250473282,12.5,12.6415835303917,13.6445213254756,12.5,11.7296504550684,7.50644665832601,12.5,11.99406226017,11.188273186312,12.5,12.1350748405466,13.8218292121541,12.5,12.9586172511333,15.6661214716582,12.5,11.5736069715076,8.89143771965826,12.5,10.1515113543634,8.48597252965568,12.5,12.7111244422463,13.3041107523462,12.5,13.0467777238736,15.7733094279462,12.5,12.1147354686765,7.82907871845769,12.5,12.203243347874,7.80864267098486,12.5,14.5728984532413,15.370660448937,23,9.08587721318701,19,12.5,12.3875302914971,7.29983556253658,2
13.4068372994958,12.5,11.2748237359243,12.5,10.1290522196248,12.2320788914145,12.1712296792327,12.5,11.2692818648197,12.5,11.874688817085,12.6330959020404,12.5,15.0038418247308,15.5681467809683,12.5,12.7385134149009,10.7339064632713,12.5,2.9246055979629,6.6661597696878,12.5,13.747579216296,12.0401478436252,12.5,12.0611828716886,7.49618652492125,12.5,13.131708178917,12.2608679531947,12.5,12.911853271663,14.0539611432019,12.5,13.8076221391824,10.3859003273115,12.5,13.360276875355,12.5169296098254,2,8.42139738555675,2,12.5,13.1468054634906,15.9624625959096,12.5,13.0923333953672,11.4782024702722,12.5,13.279273390501,14.3324640508317,12.5,13.149215539083,13.9777393608995,12.5,12.8131167239896,15.4970617165887,1,10.0634967774299,1,12.5,12.1401877406034,7.70920216057995,12.5,12.4578732859217,11.3905863679769,12.5,13.0947151538368,16.5197570313889,12.5,12.2267205066035,7.01934387512539,3
16.161323386423,12.5,14.9253914962522,23,15.9532770577001,23,20,20,16.6186796753477,24,14.9604397791517,24,21,15.9972690747264,21,12.5,10.7056813165153,8.17650490582175,12.5,16.2581252924849,15.1272896951615,12.5,12.9380621365447,9.96681512357742,12.5,13.3834452520534,9.57826460064478,12.5,12.6521810236618,11.4378731412776,12.5,12.2531682662594,13.05609927645,22,13.6519073871225,22,12.5,13.5401227167184,12.6918313637034,12.5,16.385981454278,16.6731810180143,12.5,13.284939401469,16.1799829494165,12.5,13.603624045006,12.3490562389469,12.5,12.9286920993181,13.6771486775067,12.5,14.7759570446218,16.4790903921457,12.5,13.495029675386,16.3032591233526,12.5,12.0454494518491,7.72768603916857,12.5,11.7537242790903,7.09973814097611,12.5,11.2778005176106,9.16991442923384,12.5,12.6276528162966,15.3193294425905,12.5,12.0224103527574,6.66297688013514,4
1,1,9.28005830628352,20,15.6752365865405,20,21,21,15.1903484182358,12.5,12.5356389707438,13.2223092299395,2,12.6759394035142,2,12.5,13.2406347786875,11.3655995375771,5,14.7203250034433,5,22,13.8176471135099,22,12.5,13.735315446519,10.1323310463643,3,11.4924519900496,3,12.5,13.5308832987755,14.9917484821613,12.5,12.8347395807605,9.03777307718765,24,12.3412407283673,24,12.5,12.0289236738665,13.7506269138421,12.5,13.9454162009572,17.2200397885275,4,12.3872808146345,4,12.5,12.7501207649799,13.3433586448663,12.5,12.7817955316775,13.4127778035194,23,13.6080797795465,23,12.5,12.0159948069683,7.68458231494374,12.5,12.3130473468156,7.98180674269685,12.5,12.9303784589169,12.2797510082923,12.5,13.1170660969923,16.5772026583278,12.5,12.9206086633901,8.22965492740718,5
13.6641592222977,12.5,11.6158569035502,12.5,16.0781959243983,17.3320300034419,14.4849123563398,12.5,14.1912089706963,12.5,13.0794064598934,13.707058420346,12.5,12.5788157012012,13.2328388606985,12.5,11.690650539184,9.41564404874133,12.5,12.0572445395276,12.4615121160578,12.5,13.3369547684579,10.9884577376971,12.5,12.023895781346,7.43747303925994,12.5,12.4888502647434,11.1575545696532,12.5,12.6796191353784,13.7021426155971,12.5,14.4688861492007,11.3022165092747,12.5,12.1394746300016,11.3296880687819,12.5,11.6435856597852,13.4921563469357,12.5,13.6566317712734,16.7652891881216,12.5,12.5692402431955,10.5872461360256,12.5,13.0144523660288,13.8374539265585,12.5,13.5144827913567,14.5393907449973,12.5,14.1103829553142,17.0307657904512,12.5,13.2822901013984,9.53767011754067,12.5,11.4414987860555,6.60734953776186,12.5,12.8842968449907,12.1930341975278,12.5,13.1170660969923,16.5772026583278,12.5,12.4064675739678,7.33286682564485,6
16.3252957523115,12.5,15.1427068914318,12.5,16.7792370175771,17.9330030980849,15.7837675016485,12.5,15.8315203639726,3,15.9004572624691,3,12.5,14.9645367179316,15.530295837292,24,10.747843105314,24,2,14.9444287268133,2,12.5,13.3875197121391,11.1179645200046,23,15.8392489028662,23,12.5,12.0146412462672,10.3436870802043,12.5,12.6463217495972,13.6516993972742,5,12.0992052809384,5,1,13.663185571901,1,12.5,16.6417888399285,16.8447672035755,12.5,12.7677170083682,15.3655096966047,12.5,12.2023005805061,9.96225761265826,12.5,12.5251610440065,12.9228582723695,4,12.7913146232658,4,12.5,12.7704713952865,15.4466439127611,12.5,12.1151298737043,7.82965588805594,12.5,13.6416593468642,10.0770661674126,12.5,11.118298221748,8.86976152163478,12.5,12.0646547084435,13.8723310297712,12.5,12.292194866885,7.13354721051114,7
17.1683544636331,12.5,16.2600270936359,12.5,16.1660562346321,17.4073489584236,14.3514593125166,12.5,14.0226724336997,12.5,15.0863307695727,15.496159375693,12.5,14.6387953393677,15.2166058469291,12.5,10.7777907557193,8.26722208422197,12.5,16.5591725175792,15.318327001408,12.5,12.3478680860733,8.45521188921984,12.5,16.0132502547589,13.719242534276,12.5,12.8193040764347,11.7247002873036,12.5,11.3002447941226,11.612486643739,12.5,14.3043014737273,11.0741508665744,12.5,13.4043612545295,12.5598020787009,12.5,14.0924332838399,15.1347532632193,12.5,9.9771520937345,10.9711901282307,12.5,15.3064639484181,15.2494115424983,12.5,12.0984459083172,12.1252316006661,12.5,11.3740436349807,11.2481550613372,12.5,12.5777816185338,15.2188347796307,12.5,11.327348079922,6.67682144289362,12.5,12.0172167469277,7.51527335860001,12.5,12.3501178012183,11.187811092119,12.5,12.8368819756609,15.8570830465415,12.5,11.9251941953549,6.4934080690612,8
2,2,7.2811947953804,1,10.2244480795147,1,21,21,11.0270585936565,12.5,10.9616379933448,11.8191438794576,12.5,8.95737468268137,9.74537956643328,12.5,12.7931697819932,10.80266682889,23,17.7054772702643,23,12.5,12.944034529618,9.98211159882877,12.5,12.2447569653709,7.78524836423726,12.5,12.0408424643421,10.3886552666882,24,15.6675437690273,24,12.5,10.6425159290481,6,12.5,13.375950084446,12.5321719514783,12.5,11.0049823288709,13.0638047207322,12.5,13.1680523455354,15.9959201904801,12.5,12.3607651011512,10.2321616781884,12.5,12.9807795517587,13.7745118546073,12.5,12.732747465804,13.337359287587,20,14.3351808821242,20,22,12.9315673342177,22,12.5,13.2830109857471,9.5114673629747,12.5,12.9303784589169,12.2797510082923,12.5,13.1170660969923,16.5772026583278,12.5,12.3402357023467,7.2173422047786,9
16.0250332776533,12.5,14.7447638722871,12.5,15.4174532385934,16.7656030414354,14.4725026314781,12.5,14.175536851175,12.5,13.7824024255248,14.3337540797938,12.5,14.2830052460394,14.8739788480522,12.5,11.4189451248182,9.0738254349864,12.5,13.5615308791773,13.4160959361216,12.5,12.7743709830276,9.54756983146631,12.5,13.209116003974,9.30376000097266,12.5,11.4460918331879,9.36790664284074,12.5,13.0194152867794,14.2169100980362,12.5,13.8355141952545,10.424550460904,12.5,13.5555624823931,12.7068466794621,12.5,13.9409044403118,15.033113288293,12.5,10.5903324384481,11.9367689519259,12.5,11.3916475429466,8.58151604551818,12.5,10.9106844676092,9.90503802070487,12.5,12.0660482883062,12.3122125943436,12.5,12.8340807052825,15.5218465623952,12.5,12.5003792737227,8.39342720369764,12.5,12.8306601774098,8.79809709805773,12.5,13.152499630435,12.6977406999762,12.5,12.4009032677732,14.7365455357813,12.5,12.0474516991033,6.70665512705431,10
