"term","estimate","std.error","statistic","p.value"
"(Intercept)",82.2377481525709,2.37651645215756,34.6043251995626,2.17500226984293e-262
"prison14",-0.00910722210449762,0.00160988031758422,-5.65708022206514,1.53969807682439e-08
"rel_evan",-6.36732082307773e-05,0.000226856829619059,-0.280675738692541,0.778959118741885
"rel_lds",0.00165730307481346,0.000523406745994538,3.16637698596027,0.00154350614675346
"ed_highschool",0.0113220031563486,0.00983689674915337,1.1509730604139,0.249743318630674
"ed_some_college",-0.0257333271430377,0.0105279540721804,-2.44428565765089,0.014513929544234
"ed_associates",0.027603640804541,0.0140144657578991,1.96965344818675,0.0488781015843446
"ed_college",0.061342999577192,0.0141902877918987,4.32288622167432,1.54001164144174e-05
"ed_grad",-0.0012236363967205,0.0164934292685688,-0.0741893257487913,0.940859739263283
"race_black",-0.00822776091398233,0.00483534313144461,-1.7015878067632,0.0888326648445946
"race_hispanic",0.0148246506347437,0.00504084703921336,2.94090467721416,0.0032725522392488
"race_aapi",-0.0189268173304446,0.0134916026908147,-1.40285907939835,0.160658865413272
"race_mixed",0.000861589119885271,0.0146079502113532,0.0589808362856859,0.952967371963955
"race_native_american",-0.00765395252837936,0.00683207891191224,-1.12029627102727,0.262587530601765
"race_other",0.00207292039992698,0.00854617068832045,0.242555464374227,0.808349785243623
"race_diversity",-0.70196786505767,0.279488113052817,-2.511619751517,0.0120178503679761
"born_instate",-0.0454379863926313,0.0121682362540258,-3.73414728676051,0.000188352249532676
"born_outstate",-0.0411090071442144,0.013054993476261,-3.1489105849778,0.00163880329692796
"born_outus",0.0289657135629647,0.0346652082751462,0.835584581897121,0.403388645480503
"pop_growth",2.85824168975734,0.675666408324749,4.230255721672,2.33425803132647e-05
"log(pop_density)",-0.00161522016626846,0.0293156260401325,-0.0550975839321068,0.956060720965607
"poverty",-0.0225546390974645,0.00914418683569542,-2.466554927489,0.0136419803780762
"unemp",-0.0075994194982149,0.00899775698516226,-0.844590436343936,0.398339550570851
"gini12",-0.94628993381714,0.943003663781261,-1.00348489636053,0.31562696067661
"uninsured",0.0168876934076286,0.00899877382116559,1.87666605953668,0.0605638772030393
"uninsur_growth",0.328990183408392,0.183529487871203,1.79257397393966,0.073041071035312
"disability",-0.0857618439950396,0.0281354793621459,-3.04817426037622,0.00230236372600511
"obese11",-0.0381963030441907,0.0129319451183932,-2.95363943277673,0.003140507011893
"exer_suf11",0.0439218305119121,0.0114528410530512,3.83501615961139,0.000125556039316002
"exer_insuf11",0.0619113621555564,0.0152782336785611,4.05225914579591,5.07254335820559e-05
"alch_heavy",0.0273065385087113,0.0192182649676962,1.42086387895112,0.155356335703618
"alch_light",0.0336136232208181,0.00756796696921252,4.44156579403196,8.93066310446905e-06
"smoke_daily",-0.0944464084382407,0.0217672442425862,-4.33892353968549,1.43182323279174e-05
"smoke_nondaily",-0.0702434724214332,0.0334465117989496,-2.10017334075594,0.0357135956011294
"mort_injury",-0.0210188526204115,0.00207529701417221,-10.1281177956088,4.14552164786911e-24
"overdose1410.1-12",-1.10502437615396,1.1110328986945,-0.994591949034446,0.319934764770592
"overdose1412.1-14",-1.16442306957274,1.10913344429067,-1.04984938968947,0.293787363468255
"overdose1414.1-16",-1.29933300086546,1.11063646930232,-1.16989945565327,0.242041432990375
"overdose1416.1-18",-1.38408279228053,1.11091254342073,-1.24589716848335,0.212802149755969
"overdose1418.1-20",-1.41871257144347,1.11302251352512,-1.27464858455574,0.202433652827831
"overdose14>20",-1.79408287142012,1.1125248348525,-1.61262276150265,0.106826490303497
"overdose142.1-4",-0.826176098989416,1.12427447716425,-0.73485266789412,0.462429227207171
"overdose144.1-6",-1.01353337750896,1.11912104134086,-0.905651256717161,0.365120469675736
"overdose146.1-8",-0.90619709535448,1.1128425716836,-0.814308437161519,0.415468277493777
"overdose148.1-10",-0.819456529669783,1.1112133052347,-0.73744305059118,0.46085296349385
"vcr14",-0.044850542269806,0.0131517468715515,-3.4102346028893,0.000649070209057069
"pcr14",-0.00541192517967848,0.00243358027470557,-2.22385315821696,0.0261583254997099
"female",-0.0335228210078457,0.0182024699071682,-1.84166331156214,0.0655244139308626
"age_child",-0.0277598739109812,0.0206522062811738,-1.34416020898875,0.178896585764419
"age_18t24",0.0331669721944739,0.0106160249387069,3.12423646194956,0.00178267132625105
"age_retiree",0.0698973438047174,0.014235762391489,4.90998247108327,9.10845345056776e-07
"wkid_cmarried15",0.0169138083227583,0.0109184763033048,1.54909969604814,0.121357755973315
"wkid_sfather15",-0.0410573667017931,0.0255958981119586,-1.60406040539015,0.108700738409817
"wkid_smother15",-0.0308155752507166,0.0192064323669819,-1.60444035945438,0.108617020797786
"wokid_married15",0.0506378149573375,0.00827880287011493,6.11656247307583,9.56154129160719e-10
"as.factor(state)AR",0.628499017199598,0.132448855001682,4.74522046409248,2.08279361977991e-06
"as.factor(state)AZ",1.80809841707455,0.370793873640947,4.87628988936694,1.08099713794092e-06
"as.factor(state)CA",0.978517482245298,0.220718970927817,4.43331843262946,9.27936564573588e-06
